Date,Closing Price (USD)
27/12/2016,900.37
28/12/2016,948.90
29/12/2016,971.65
30/12/2016,954.84
31/12/2016,952.46
01/01/2017,964.33
01/02/2017,1009.97
01/03/2017,1028.33
01/04/2017,1047.10
01/05/2017,1140.39
01/06/2017,985.94
01/07/2017,837.84
01/08/2017,923.52
01/09/2017,889.34
01/10/2017,905.23
01/11/2017,910.61
01/12/2017,772.66
13/01/2017,784.89
14/01/2017,820.69
15/01/2017,821.20
16/01/2017,830.74
17/01/2017,848.58
18/01/2017,890.29
19/01/2017,888.06
20/01/2017,896.16
21/01/2017,920.59
22/01/2017,934.78
23/01/2017,920.37
24/01/2017,912.21
25/01/2017,898.55
26/01/2017,901.05
27/01/2017,912.84
28/01/2017,919.80
29/01/2017,920.83
30/01/2017,916.91
31/01/2017,921.35
02/01/2017,973.07
02/02/2017,982.83
02/03/2017,1020.09
02/04/2017,1011.22
02/05/2017,1029.40
02/06/2017,1019.31
02/07/2017,1029.41
02/08/2017,1067.71
02/09/2017,1072.21
02/10/2017,974.96
02/11/2017,997.23
02/12/2017,1004.71
13/02/2017,1004.85
14/02/2017,994.58
15/02/2017,1003.59
16/02/2017,1018.41
17/02/2017,1038.87
18/02/2017,1058.32
19/02/2017,1052.84
20/02/2017,1046.66
21/02/2017,1079.58
22/02/2017,1112.86
23/02/2017,1122.52
24/02/2017,1193.50
25/02/2017,1182.43
26/02/2017,1139.85
27/02/2017,1189.37
28/02/2017,1189.95
03/01/2017,1193.61
03/02/2017,1221.05
03/03/2017,1269.78
03/04/2017,1285.38
03/05/2017,1260.67
03/06/2017,1273.25
03/07/2017,1280.30
03/08/2017,1206.36
03/09/2017,1153.06
03/10/2017,1200.56
03/11/2017,1147.63
03/12/2017,1186.35
13/03/2017,1235.55
14/03/2017,1242.81
15/03/2017,1245.89
16/03/2017,1247.67
17/03/2017,1126.08
18/03/2017,1062.07
19/03/2017,1000.25
20/03/2017,1036.23
21/03/2017,1065.48
22/03/2017,1091.33
23/03/2017,1036.10
24/03/2017,1013.84
25/03/2017,921.81
26/03/2017,962.51
27/03/2017,968.29
28/03/2017,1035.32
29/03/2017,1011.97
30/03/2017,1041.37
31/03/2017,1048.86
04/01/2017,1077.56
04/02/2017,1082.37
04/03/2017,1140.04
04/04/2017,1148.09
04/05/2017,1139.86
04/06/2017,1150.69
04/07/2017,1177.28
04/08/2017,1196.90
04/09/2017,1187.03
04/10/2017,1213.80
04/11/2017,1206.74
04/12/2017,1226.90
13/04/2017,1216.27
14/04/2017,1187.14
15/04/2017,1186.11
16/04/2017,1189.55
17/04/2017,1184.20
18/04/2017,1211.74
19/04/2017,1218.67
20/04/2017,1227.98
21/04/2017,1261.70
22/04/2017,1255.25
23/04/2017,1232.76
24/04/2017,1243.43
25/04/2017,1251.58
26/04/2017,1269.70
27/04/2017,1289.75
28/04/2017,1335.83
29/04/2017,1319.70
30/04/2017,1311.59
05/01/2017,1370.79
05/02/2017,1416.61
05/03/2017,1448.89
05/04/2017,1506.77
05/05/2017,1543.31
05/06/2017,1536.15
05/07/2017,1554.60
05/08/2017,1564.07
05/09/2017,1644.73
05/10/2017,1695.83
05/11/2017,1748.35
05/12/2017,1774.52
13/05/2017,1634.61
14/05/2017,1774.81
15/05/2017,1747.04
16/05/2017,1665.03
17/05/2017,1744.44
18/05/2017,1796.90
19/05/2017,1913.14
20/05/2017,1983.98
21/05/2017,2074.70
22/05/2017,2114.99
23/05/2017,2196.67
24/05/2017,2348.55
25/05/2017,2581.85
26/05/2017,2460.95
27/05/2017,2232.29
28/05/2017,2234.83
29/05/2017,2195.79
30/05/2017,2315.74
31/05/2017,2170.98
06/01/2017,2402.13
06/02/2017,2477.17
06/03/2017,2475.30
06/04/2017,2526.31
06/05/2017,2605.13
06/06/2017,2855.03
06/07/2017,2900.85
06/08/2017,2737.90
06/09/2017,2826.04
06/10/2017,2846.01
06/11/2017,2910.34
06/12/2017,3007.01
13/06/2017,2697.08
14/06/2017,2780.18
15/06/2017,2518.55
16/06/2017,2438.62
17/06/2017,2520.78
18/06/2017,2680.10
19/06/2017,2611.68
20/06/2017,2667.55
21/06/2017,2805.10
22/06/2017,2702.00
23/06/2017,2763.29
24/06/2017,2740.59
25/06/2017,2598.16
26/06/2017,2630.59
27/06/2017,2513.43
28/06/2017,2556.17
29/06/2017,2591.27
30/06/2017,2547.32
07/01/2017,2479.05
07/02/2017,2424.70
07/03/2017,2513.74
07/04/2017,2640.06
07/05/2017,2588.68
07/06/2017,2634.17
07/07/2017,2598.57
07/08/2017,2514.36
07/09/2017,2586.04
07/10/2017,2524.13
07/11/2017,2352.27
07/12/2017,2292.91
13/07/2017,2437.55
14/07/2017,2337.68
15/07/2017,2109.37
16/07/2017,2045.57
